,proxy,cold_start,cold_start,cold_start,cold_start,cold_start,cold_start,cold_start,cold_start,warm_start,warm_start,warm_start,warm_start,warm_start,warm_start,warm_start,warm_start,difference,difference,difference,difference,difference,difference,difference,difference
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
0,gomitmproxy,100.0,1.0496425485610958,0.00879036595403604,1.0289888381958,1.044404983520507,1.0503998994827266,1.0550725460052486,1.083940029144287,100.0,1.0207015419006344,0.0054636224502961055,1.011942148208618,1.0173577070236202,1.020434498786926,1.0240057706832881,1.041516065597534,100.0,0.028941006660461364,0.008554006896741738,0.007764816284180132,0.022738754749297985,0.030244946479797474,0.0351329445838931,0.05309605598449707
1,goproxy,100.0,1.215417215824127,0.09625686371339456,1.109206914901733,1.1294960379600523,1.140260577201843,1.3195731043815608,1.333560228347778,100.0,1.0201748442649838,0.003752586200017458,1.011085033416748,1.0173680186271663,1.021618008613586,1.0230638980865474,1.026111125946045,100.0,0.195242371559143,0.096283889886155,0.09007072448730491,0.10887652635574324,0.11922502517700195,0.299478471279144,0.31599688529968306
2,martian,100.0,1.0522930335998533,0.01513513339338744,1.029561042785644,1.0440703630447388,1.0526983737945554,1.0587595701217645,1.166044950485229,100.0,1.0196023631095883,0.008804890046724134,0.9448549747467041,1.0169251561164856,1.0205835103988645,1.0242233872413635,1.029875040054321,100.0,0.03269067049026481,0.01673337243365261,0.009275913238525169,0.024302005767822488,0.031364917755127064,0.038413822650909424,0.15472888946533203
3,mitmproxy,100.0,1.0964409613609312,0.012799810091654706,1.073225021362304,1.0915142893791192,1.0974068641662595,1.0991045236587522,1.153535842895507,100.0,1.0336298251152036,0.019191992628070878,1.017199039459228,1.0291442871093746,1.032397031784057,1.034441471099853,1.211155891418457,100.0,0.06281113624572758,0.019788189050755366,-0.10944890975952193,0.06084465980529735,0.0649429559707645,0.06749248504638655,0.11164188385009699
4,node_http_proxy,100.0,1.1461002588272091,0.03284950095399102,1.083567857742309,1.1246507167816158,1.1414339542388916,1.163746416568756,1.318521976470947,100.0,1.0241687130928037,0.00578730663361507,1.013131141662597,1.0193566679954524,1.025245070457458,1.0283074378967285,1.045683860778808,100.0,0.12193154573440551,0.0313346536082107,0.0654597282409668,0.10139590501785267,0.11684358119964555,0.13757568597793574,0.29004907608032204
